industry,name,d2018,d2017,d2016
輸送用機器,(株)デンソー【6902】,61078,316196,412676
食料品,アサヒグループホールディングス(株)【2502】,201436,211772,183192
電気機器,三菱電機(株)【6503】,259661,290477,318637
電気機器,キヤノン(株)【7751】,174667,342952,331479
石油・石炭製品,出光興産(株)【5019】,-3860,179319,201323
建設業,大和ハウス工業(株)【1925】,381114,372195,347141
卸売業,双日(株)【2768】,54781,69999,59838
輸送用機器,(株)ＳＵＢＡＲＵ【7270】,210319,195529,379447
銀行業,(株)コンコルディア・フィナンシャルグループ【7186】,83337,83761,102567
保険業,東京海上ホールディングス(株)【8766】,‥,‥,‥
繊維製品,東レ(株)【3402】,131186,141469,156464
鉄鋼,ジェイ　エフ　イー　ホールディングス(株)【5411】,-200927,221818,246669
銀行業,(株)千葉銀行【8331】,79426,77530,76887
海運業,日本郵船(株)【9101】,38696,11085,27824
情報・通信,(株)ＮＴＴデータ【9613】,130937,147716,123522
不動産業,三菱地所(株)【8802】,240768,229178,213047
情報・通信,ＫＤＤＩ(株)【9433】,1025237,1013729,962793
電気・ガス業,東京ガス(株)【9531】,101508,93704,116302
化学,昭和電工(株)【4004】,120798,180003,77818
金属製品,(株)ＳＵＭＣＯ【3436】,50636,85165,42085
輸送用機器,スズキ(株)【7269】,215069,324365,374182
電気機器,(株)リコー【7752】,79040,86839,-115676
電気・ガス業,大阪ガス(株)【9532】,83792,67977,78118
陸運業,ヤマトホールディングス(株)【9064】,44701,58345,35685
ゴム製品,(株)ブリヂストン【5108】,326098,402732,419047
化学,三井化学(株)【4183】,71636,93427,103491
銀行業,(株)ふくおかフィナンシャルグループ【8354】,4348,75144,73587
精密機器,オリンパス(株)【7733】,83469,28281,81029
不動産業,住友不動産(株)【8830】,234332,220419,205637
建設業,大成建設(株)【1801】,167755,153323,181859
陸運業,東急(株)【9005】,68760,81971,82918
非鉄金属,三菱マテリアル(株)【5711】,37952,36861,72819
化学,信越化学工業(株)【4063】,406041,403705,336822
ガラス・土石製品,日本板硝子(株)【5202】,-2783,29787,34398
電気機器,京セラ(株)【6971】,100193,94823,95575
その他製品,大日本印刷(株)【7912】,56274,49898,46372
陸運業,東海旅客鉄道(株)【9022】,656163,709775,662023
機械,(株)ＩＨＩ【7013】,60797,82488,72267
その他製品,凸版印刷(株)【7911】,66413,45743,52290
パルプ・紙,日本製紙(株)【3863】,35048,19615,17613
輸送用機器,川崎重工業(株)【7012】,62063,64023,55925
パルプ・紙,王子ホールディングス(株)【3861】,106125,110212,70781
化学,旭化成(株)【3407】,177264,209587,198475
医薬品,アステラス製薬(株)【4503】,243991,243912,213258
陸運業,東武鉄道(株)【9001】,62653,67295,66645
食料品,キリンホールディングス(株)【2503】,87727,198322,211066
保険業,ＳＯＭＰＯホールディングス(株)【8630】,‥,‥,‥
食料品,ＪＴ【2914】,502355,564984,561101
石油・石炭製品,ＥＮＥＯＳホールディングス(株)【5020】,-113061,537083,487546
銀行業,(株)あおぞら銀行【8304】,‥,‥,‥
保険業,ＭＳ＆ＡＤインシュアランスグループホールディングス(株)【8725】,‥,‥,‥
陸運業,西日本旅客鉄道(株)【9021】,160628,196946,191365
非鉄金属,住友電気工業(株)【5802】,127216,166260,173139
化学,ＤＩＣ(株)【4631】,41332,48385,56483
非鉄金属,住友金属鉱山(株)【5713】,65325,82167,110203
不動産業,東京建物(株)【8804】,52410,46765,44757
ガラス・土石製品,ＡＧＣ(株)【5201】,76002,122499,113915
銀行業,(株)静岡銀行【8355】,59594,59770,54794
化学,住友化学(株)【4005】,137517,182972,250923
化学,(株)クラレ【3405】,54173,65794,75117
ガラス・土石製品,太平洋セメント(株)【5233】,61008,66012,65129
輸送用機器,ホンダ【7267】,633637,726370,833558
輸送用機器,ヤマハ発動機(株)【7272】,115364,140787,149782
化学,花王(株)【4452】,211723,207703,204791
機械,ダイキン工業(株)【6367】,265513,276254,253739
機械,(株)クボタ【6326】,201654,189314,198826
医薬品,大塚ホールディングス(株)【4578】,176585,108304,104181
機械,日立建機(株)【6305】,72849,102296,95737
建設業,鹿島【1812】,131987,142622,158373
食料品,味の素(株)【2802】,48773,53149,83320
機械,荏原【6361】,35298,32482,18115
不動産業,東急不動産ホールディングス(株)【3289】,79312,80205,77519
その他金融業,(株)クレディセゾン【8253】,24653,39915,40771
海運業,川崎汽船(株)【9107】,6840,-24736,7219
サービス業,(株)電通グループ【4324】,-3358,111638,137392
建設業,清水建設(株)【1803】,133894,129724,121373
医薬品,中外製薬(株)【4519】,210597,124323,98934
輸送用機器,日野自動車(株)【7205】,54859,86717,80331
繊維製品,帝人(株)【3401】,56205,60000,69822
陸運業,日本通運(株)【9062】,59224,79598,70269
ガラス・土石製品,日本ガイシ(株)【5333】,55000,64705,70026
非鉄金属,古河電気工業(株)【5801】,23565,40842,44804
電気機器,ファナック(株)【6954】,88350,163297,229604
機械,コマツ【6301】,250707,397806,271581
電気機器,ミネベアミツミ(株)【6479】,58647,72033,79162
機械,日本精工(株)【6471】,23604,79279,97875
サービス業,セコム(株)【9735】,142858,130213,135448
小売業,(株)高島屋【8233】,25582,26661,35318
精密機器,(株)ニコン【7731】,6751,82653,56236
海運業,(株)商船三井【9104】,23779,37718,22684
卸売業,豊田通商(株)【8015】,210370,215197,182696
化学,(株)資生堂【4911】,113831,108350,80437
電気機器,オムロン(株)【6645】,54760,76633,85910
陸運業,小田急電鉄(株)【9007】,41103,52089,51464
陸運業,京王電鉄(株)【9008】,36024,40078,38537
化学,宇部興産(株)【4208】,34033,44551,50250
建設業,(株)大林組【1802】,152871,155480,137800
建設業,(株)長谷工コーポレーション【1808】,85925,98430,100805
化学,東ソー(株)【4042】,81658,105739,130580
電気機器,東京エレクトロン(株)【8035】,237292,310571,281172
機械,(株)アマダ【6113】,34682,45316,37965
機械,ＮＴＮ(株)【6472】,7056,26945,39608
電気機器,(株)ＳＣＲＥＥＮホールディングス【7735】,12561,29645,42725
食料品,サッポロホールディングス(株)【2501】,12208,10828,17032
電気機器,セイコーエプソン(株)【6724】,39479,71355,65003
非鉄金属,(株)フジクラ【5803】,3346,27679,34343
繊維製品,東洋紡(株)【3101】,22794,21727,23923
小売業,(株)三越伊勢丹ホールディングス【3099】,15679,29229,24413
銀行業,(株)りそなホールディングス【8308】,‥,‥,‥
小売業,(株)セブン＆アイ・ホールディングス【3382】,424266,411596,391657
化学,(株)三菱ケミカルホールディングス【4188】,144285,297950,355711
医薬品,第一三共(株)【4568】,138800,83705,76282
電気機器,カシオ計算機(株)【6952】,29064,30262,29568
電気機器,富士電機(株)【6504】,42515,59972,55962
情報・通信,コナミホールディングス(株)【9766】,30972,50522,45181
非鉄金属,日本軽金属ホールディングス(株)【5703】,24607,30052,29893
機械,(株)ジェイテクト【6473】,34693,66608,81391
機械,日立造船(株)【7004】,13891,7358,5907
医薬品,エーザイ(株)【4523】,125502,86154,77212
輸送用機器,(株)三井Ｅ＆Ｓホールディングス【7003】,-62079,-59703,-5224
電気機器,ＯＫＩ【6703】,16829,17522,7721
電気機器,横河電機(株)【6841】,35588,34594,32696
非鉄金属,三井金属【5706】,13037,18222,49529
ガラス・土石製品,住友大阪セメント(株)【5232】,16128,14178,18990
輸送用機器,いすゞ自動車(株)【7202】,140582,176781,166765
化学,富士フイルムホールディングス(株)【4901】,186570,209827,130679
サービス業,(株)リクルートホールディングス【6098】,206011,223090,191794
ゴム製品,横浜ゴム(株)【5101】,58564,53478,54224
電気機器,アルプスアルパイン(株)【6770】,26795,49641,71907
精密機器,テルモ(株)【4543】,110611,106637,108552
電気機器,コニカミノルタ(株)【4902】,8211,62444,53844
化学,デンカ(株)【4061】,31587,34228,33652
陸運業,京成電鉄(株)【9009】,28320,31608,30085
非鉄金属,ＤＯＷＡホールディングス(株)【5714】,25955,18671,30948
食料品,日本ハム(株)【2282】,28302,31483,49218
小売業,(株)丸井グループ【8252】,41944,41184,35243
ガラス・土石製品,ＴＯＴＯ(株)【5332】,36760,40167,52602
電気機器,太陽誘電(株)【6976】,37176,35237,20221
電気機器,(株)ジーエス・ユアサ　コーポレーション【6674】,21676,22654,21920
精密機器,シチズン時計(株)【7762】,6136,22411,24920
電気機器,ＴＤＫ(株)【6762】,97870,107823,85633
電気機器,(株)アドバンテスト【6857】,58708,64662,24487
ガラス・土石製品,日本電気硝子(株)【5214】,15937,24865,32201
小売業,Ｊ．フロント　リテイリング(株)【3086】,40286,40891,49546
機械,住友重機械工業(株)【6302】,56821,75244,69921
水産・農林業,日本水産(株)【1332】,22834,21685,23489
電気機器,(株)安川電機【6506】,22339,49766,54126
食料品,(株)ニチレイ【2871】,31035,29511,29897
食料品,明治ホールディングス(株)【2269】,102708,98383,94673
サービス業,エムスリー(株)【2413】,34337,30800,29713
その他製品,ヤマハ(株)【7951】,43333,56030,48833
電気機器,日清紡ホールディングス(株)【3105】,6482,-2505,15085
化学,日東電工(株)【6988】,69733,92777,125722
医薬品,協和キリン(株)【4151】,44770,74193,55974
建設業,日揮ホールディングス(株)【1963】,20234,23249,21495
医薬品,大日本住友製薬(株)【4506】,83239,57884,88173
倉庫・運輸関連業,三菱倉庫(株)【9301】,12195,12660,12421
医薬品,塩野義製薬(株)【4507】,125231,138537,115219
ガラス・土石製品,東海カーボン(株)【5301】,54344,75284,11486
水産・農林業,マルハニチロ(株)【1333】,17079,21758,24497
機械,(株)日本製鋼所【5631】,18709,24290,21318
サービス業,日産化学(株)【4021】,38647,37091,34988
小売業,トレンドマイクロ(株)【4704】,37686,35836,36441
電気機器,オークマ(株)【6103】,14995,27575,22493
小売業,(株)日清製粉グループ本社【2002】,28852,26916,27200
卸売業,(株)ファミリーマート【8028】,51998,3895,27974
医薬品,日本化薬(株)【4272】,17485,19939,22606
機械,東邦亜鉛(株)【5707】,-14217,531,13102
小売業,大平洋金属(株)【5541】,-1879,176,-3239
化学,宝ホールディングス(株)【2531】,15836,17804,15612
輸送用機器,松井証券(株)【8628】,,,
化学,キッコーマン(株)【2801】,39826,38417,36502
機械,(株)日本取引所グループ【8697】,68533,69535,71791
機械,東洋製罐グループホールディングス(株)【5901】,27271,25443,31870
卸売業,(株)ディー・エヌ・エー【2432】,-45676,13512,27503
小売業,東宝(株)【9602】,52857,44982,47586
小売業,(株)ファーストリテイリング【9983】,257636,236212,176414
不動産業,コムシスホールディングス(株)【1721】,38953,35267,30347
銀行業,(株)トクヤマ【4043】,34281,35262,41268
銀行業,(株)バンダイナムコホールディングス【7832】,78775,84045,75024
小売業,(株)スカパーＪＳＡＴホールディングス【9412】,15263,15290,15652
その他製品,(株)サイバーエージェント【4751】,30825,30163,30700
