title,coding,industry,market_value,returns_ratio
レーザーテック(株),6920,電気機器,"804,263",0.57
芙蓉総合リース(株),8424,その他金融業,"195,962",3.40
(株)クスリのアオキホールディングス,3549,小売業,"303,334",0.23
三菱ＵＦＪリース(株),8593,その他金融業,"455,084",---
東京センチュリー(株),8439,その他金融業,"690,189",2.42
ＡＬＳＯＫ,2331,サービス業,"525,506",1.36
ＯＢＡＲＡ　ＧＲＯＵＰ(株),6877,電気機器,"76,173",3.01
ヒューリック(株),3003,不動産業,"664,473",3.50
イオンモール(株),8905,不動産業,"319,691",2.85
(株)日本Ｍ＆Ａセンター,2127,サービス業,"901,357",0.49
任天堂(株),7974,その他製品,"7,436,665",1.49
(株)オービック,4684,情報・通信,"1,926,264",0.83
(株)大塚商会,4768,情報・通信,"1,052,612",2.08
大陽日酸(株),4091,化学,"818,545",1.48
(株)プレサンスコーポレーション,3254,不動産業,"89,642",---
ＧＭＯペイメントゲートウェイ(株),3769,情報・通信,"890,869",0.35
(株)日立物流,9086,陸運業,"409,103",1.20
ウエルシアホールディングス(株),3141,小売業,"999,953",0.57
スギホールディングス(株),7649,小売業,"493,347",1.03
(株)クリエイトＳＤホールディングス,3148,小売業,"261,932",1.07
三和ホールディングス(株),5929,金属製品,"234,465",3.35
(株)ゴールドウイン,8111,繊維製品,"366,891",0.78
(株)ノジマ,7419,小売業,"161,562",1.27
山九(株),9065,陸運業,"277,818",---
(株)カプコン,9697,情報・通信,"689,423",0.88
(株)オープンハウス,3288,不動産業,"455,529",2.19
日本ユニシス(株),8056,情報・通信,"340,505",2.25
小野薬品工業(株),4528,医薬品,"1,735,601",1.37
(株)シマノ,7309,輸送用機器,"2,164,085",0.66
エレコム(株),6750,電気機器,"234,251",1.28
(株)パン・パシフィック・インターナショナルホールディングス,7532,小売業,"1,633,058",0.62
ＴＩＳ(株),3626,情報・通信,"585,992",1.57
ダイワボウホールディングス(株),3107,卸売業,"121,602",---
(株)ヤオコー,8279,小売業,"352,121",0.74
中外製薬(株),4519,医薬品,"8,266,001",1.02
第一三共(株),4568,医薬品,"6,864,648",0.84
(株)千葉銀行,8331,銀行業,"457,507",3.21
