id,coding,industry,d2018,d2017,d2016
1,日本郵政(株)【6178】,‥,‥,‥,サービス業
2,(株)ゆうちょ銀行【7182】,‥,,,銀行業
3,(株)三井住友フィナンシャルグループ【8316】,1203845,1132860,1142931,銀行業
4,(株)みずほフィナンシャルグループ【8411】,457820,663416,852854,銀行業
5,(株)三菱ＵＦＪフィナンシャル・グループ【8306】,1232800,1207974,1733635,銀行業
6,東京電力ホールディングス(株)【9501】,288470,258680,372231,電気・ガス業
7,(株)ＮＴＴドコモ【9437】,973264,944738,783024,情報・通信
8,日本電信電話(株)【9432】,1642843,1539789,1348149,情報・通信
9,ソニー(株)【6758】,734860,288702,294197,電気機器
10,日産自動車(株)【7201】,574760,742228,793278,輸送用機器
11,野村ホールディングス(株)【8604】,‥,‥,‥,証券業
12,(株)新生銀行【8303】,‥,‥,‥,銀行業
13,(株)かんぽ生命保険【7181】,‥,‥,‥,保険業
14,(株)東芝【6502】,64070,270788,-708738,電気機器
15,関西電力(株)【9503】,227551,217747,256702,電気・ガス業
16,(株)日立製作所【6501】,586012,541483,550527,電気機器
17,中部電力(株)【9502】,136505,136443,284991,電気・ガス業
18,新日鐵住金(株)【5401】,182382,114202,167731,鉄鋼
19,ＮＥＣ【6701】,63850,41838,107306,電気機器
20,トヨタ自動車(株)【7203】,2399862,1994372,2853971,輸送用機器
21,第一生命ホールディングス(株)【8750】,‥,‥,‥,保険業
22,三井物産(株)【8031】,254622,260440,121036,卸売業
23,三井不動産(株)【8801】,245902,232698,202482,不動産業
24,富士通(株)【6702】,182489,128861,120612,電気機器
25,ＡＮＡホールディングス(株)【9202】,164516,145539,136463,空運業
26,国際石油開発帝石(株)【1605】,357363,336452,390139,鉱業
27,三菱自動車(株)【7211】,98201,5118,138377,輸送用機器
28,マツダ(株)【7261】,146421,125687,226775,輸送用機器
29,三菱重工業(株)【7011】,126530,150543,309506,機械
30,丸紅(株)【8002】,81522,74137,-15100,卸売業
31,三井住友トラスト・ホールディングス(株)【8309】,‥,‥,‥,銀行業
32,パナソニック(株)【6752】,380539,276784,415709,電気機器
33,伊藤忠商事(株)【8001】,294104,298422,137948,卸売業
34,東北電力(株)【9506】,107665,130422,189759,電気・ガス業
35,(株)神戸製鋼所【5406】,88913,9749,68445,鉄鋼
36,(株)大和証券グループ本社【8601】,135058,119062,150297,証券業
37,ソフトバンクグループ(株)【9984】,1303801,1025999,999488,情報・通信
38,九州電力(株)【9508】,103123,122640,120256,電気・ガス業
39,オリックス(株)【8591】,336195,329224,287741,その他金融業
40,イオン(株)【8267】,210273,184739,176977,小売業
41,住友商事(株)【8053】,229909,109128,113722,卸売業
42,(株)Ｔ＆Ｄホールディングス【8795】,‥,‥,‥,保険業
43,楽天(株)【4755】,149344,77977,94689,サービス業
44,三菱商事(株)【8058】,474389,401138,10304,卸売業
45,積水ハウス(株)【1928】,195540,184164,149645,建設業
46,東日本旅客鉄道(株)【9020】,481295,466309,487821,陸運業
47,(株)デンソー【6902】,412676,330551,315728,輸送用機器
48,中国電力(株)【9504】,39626,34520,50015,電気・ガス業
49,アサヒグループホールディングス(株)【2502】,183192,136889,135119,食料品
50,日本航空(株)【9201】,174565,170332,209192,空運業
51,Ｊ−ＰＯＷＥＲ【9513】,104336,81726,87376,電気・ガス業
52,三菱電機(株)【6503】,318637,270104,301172,電気機器
53,キヤノン(株)【7751】,331479,228866,355210,電気機器
54,サントリー食品インターナショナル(株)【2587】,117955,93481,92007,食料品
55,出光興産(株)【5019】,201323,135234,-19643,石油・石炭製品
56,大和ハウス工業(株)【1925】,347141,310092,243100,建設業
57,双日(株)【2768】,59838,51618,29242,卸売業
58,(株)ＳＵＢＡＲＵ【7270】,379447,410810,565589,輸送用機器
59,(株)コンコルディア・フィナンシャルグループ【7186】,102567,98638,,銀行業
60,(株)オリエントコーポレーション【8585】,30088,33515,29486,その他金融業
61,東京海上ホールディングス(株)【8766】,‥,‥,‥,保険業
62,東レ(株)【3402】,156464,146893,154480,繊維製品
63,ジェイ　エフ　イー　ホールディングス(株)【5411】,246669,96746,90638,鉄鋼
64,(株)フジ・メディア・ホールディングス【4676】,25258,22319,24394,情報・通信
65,四国電力(株)【9507】,29265,20009,24702,電気・ガス業
66,(株)千葉銀行【8331】,76887,70377,76632,銀行業
67,日本郵船(株)【9101】,27824,-18078,48964,海運業
68,アイフル(株)【8515】,2492,7009,6676,その他金融業
69,(株)ＮＴＴデータ【9613】,123522,117109,100885,情報・通信
70,三菱地所(株)【8802】,213047,192495,166199,不動産業
71,ＫＤＤＩ(株)【9433】,962793,912976,833358,情報・通信
72,東京ガス(株)【9531】,116302,58365,192008,電気・ガス業
73,昭和電工(株)【4004】,77818,42053,33508,化学
74,(株)ＳＵＭＣＯ【3436】,42085,14046,29447,金属製品
75,スズキ(株)【7269】,374182,266685,195308,輸送用機器
76,(株)リコー【7752】,-115676,33880,102295,電気機器
77,大阪ガス(株)【9532】,78118,97250,146674,電気・ガス業
78,ヤマトホールディングス(株)【9064】,35685,34885,68540,陸運業
79,近鉄グループホールディングス(株)【9041】,64643,64828,64736,陸運業
80,(株)ブリヂストン【5108】,419047,449548,517248,ゴム製品
81,三井化学(株)【4183】,103491,102149,70926,化学
82,(株)ふくおかフィナンシャルグループ【8354】,73587,-20136,68953,銀行業
83,オリンパス(株)【7733】,81029,76487,104464,精密機器
84,住友不動産(株)【8830】,205637,188171,174240,不動産業
85,大成建設(株)【1801】,181859,140822,117468,建設業
86,東京急行電鉄(株)【9005】,82918,77974,75480,陸運業
87,(株)北洋銀行【8524】,11058,16298,26951,銀行業
88,三菱マテリアル(株)【5711】,72819,59761,70420,非鉄金属
89,信越化学工業(株)【4063】,336822,238617,208525,化学
90,北陸電力(株)【9505】,14826,10539,38124,電気・ガス業
91,(株)めぶきフィナンシャルグループ【7167】,66738,54161,‥,銀行業
92,野村不動産ホールディングス(株)【3231】,76660,77271,80912,不動産業
93,日本板硝子(株)【5202】,34398,32783,-15780,ガラス・土石製品
94,京セラ(株)【6971】,95575,104542,92656,電気機器
95,大日本印刷(株)【7912】,46372,31410,45471,その他製品
96,北海道電力(株)【9509】,33726,27443,43100,電気・ガス業
97,東海旅客鉄道(株)【9022】,662023,619564,578677,陸運業
98,(株)ＩＨＩ【7013】,72267,47389,22048,機械
99,凸版印刷(株)【7911】,52290,51601,48532,その他製品
100,日本製紙(株)【3863】,17613,23764,22623,パルプ・紙
101,川崎重工業(株)【7012】,55925,45960,95996,輸送用機器
102,王子ホールディングス(株)【3861】,70781,70243,71987,パルプ・紙
103,旭化成(株)【3407】,198475,159229,165203,化学
104,アステラス製薬(株)【4503】,213258,260830,248986,医薬品
105,(株)池田泉州ホールディングス【8714】,‥,‥,‥,銀行業
106,東武鉄道(株)【9001】,66645,68335,64399,陸運業
107,キリンホールディングス(株)【2503】,211066,141889,124751,食料品
108,ＳＯＭＰＯホールディングス(株)【8630】,‥,‥,‥,保険業
109,積水化学工業(株)【4204】,99231,96476,89823,化学
110,ＪＴ【2914】,561101,593329,565229,食料品
111,ＪＸＴＧホールディングス(株)【5020】,487546,271138,-62234,石油・石炭製品
112,(株)あおぞら銀行【8304】,‥,‥,‥,銀行業
113,ＭＳ＆ＡＤインシュアランスグループホールディングス(株)【8725】,‥,‥,‥,保険業
114,西日本旅客鉄道(株)【9021】,191365,176392,181539,陸運業
115,住友電気工業(株)【5802】,173139,150503,143476,非鉄金属
116,阪急阪神ホールディングス(株)【9042】,105211,104058,110293,陸運業
117,(株)ジャパンディスプレイ【6740】,-61749,18502,16710,電気機器
118,ＤＩＣ(株)【4631】,56483,54182,51068,化学
119,名古屋鉄道(株)【9048】,46976,44180,44864,陸運業
120,住友金属鉱山(株)【5713】,110203,76390,59720,非鉄金属
121,パイオニア(株)【6773】,1194,4167,7304,電気機器
122,東京建物(株)【8804】,44757,36363,34439,不動産業
123,ＬＩＮＥ(株)【3938】,25078,19896,-9524,情報・通信
124,ＡＧＣ(株)【5201】,113915,68837,85949,ガラス・土石製品
125,(株)静岡銀行【8355】,54794,14408,74228,銀行業
126,住友化学(株)【4005】,250923,134336,164446,化学
127,(株)クラレ【3405】,75117,67827,66077,化学
128,日本電産(株)【6594】,167637,140331,124538,電気機器
129,ローム(株)【6963】,57004,31827,33635,電気機器
130,太平洋セメント(株)【5233】,65129,63235,60433,ガラス・土石製品
131,ホンダ【7267】,833558,840711,503376,輸送用機器
132,ヤマハ発動機(株)【7272】,149782,108594,120436,輸送用機器
133,花王(株)【4452】,204791,185571,164380,化学
134,ダイキン工業(株)【6367】,253739,230769,217872,機械
135,ニプロ(株)【8086】,27088,28770,24204,精密機器
136,(株)クボタ【6326】,198826,188777,166874,機械
137,大塚ホールディングス(株)【4578】,104181,101145,151837,医薬品
138,ＳＢＩホールディングス(株)【8473】,72863,43767,55086,証券業
139,日立建機(株)【6305】,95737,23622,34052,機械
140,鹿島【1812】,158373,155392,111079,建設業
141,(株)豊田自動織機【6201】,147445,127345,127970,輸送用機器
142,(株)紀陽銀行【8370】,‥,‥,‥,銀行業
143,味の素(株)【2802】,83320,83617,91045,食料品
144,日本ペイントホールディングス(株)【4612】,74957,72489,71352,化学
145,荏原【6361】,18115,29995,38011,機械
146,武田薬品工業(株)【4502】,241789,155867,130828,医薬品
147,(株)クレディセゾン【8253】,40771,31213,36593,その他金融業
148,川崎汽船(株)【9107】,7219,-46037,9427,海運業
149,(株)レオパレス２１【8848】,22930,22898,20996,不動産業
150,(株)電通【4324】,137392,137681,107265,サービス業
151,清水建設(株)【1803】,121373,128835,94668,建設業
152,キヤノンマーケティングジャパン(株)【8060】,30406,27676,26647,卸売業
153,南海電気鉄道(株)【9044】,33971,31840,32318,陸運業
154,中外製薬(株)【4519】,98934,76884,86784,医薬品
155,日野自動車(株)【7205】,80331,71178,98287,輸送用機器
156,帝人(株)【3401】,69822,56512,67130,繊維製品
157,(株)ヤマダ電機【9831】,38763,57895,58158,小売業
