id,coding,d2018,d2017,d2016,16-17,17-18
20,トヨタ自動車(株)【7203】,2399862,1994372,2853971,-30.12%,20.33%
8,日本電信電話(株)【9432】,1642843,1539789,1348149,14.22%,6.69%
37,ソフトバンクグループ(株)【9984】,1303801,1025999,999488,2.65%,27.08%
5,(株)三菱ＵＦＪフィナンシャル・グループ【8306】,1232800,1207974,1733635,-30.32%,2.06%
3,(株)三井住友フィナンシャルグループ【8316】,1203845,1132860,1142931,-0.88%,6.27%
7,(株)ＮＴＴドコモ【9437】,973264,944738,783024,20.65%,3.02%
71,ＫＤＤＩ(株)【9433】,962793,912976,833358,9.55%,5.46%
131,ホンダ【7267】,833558,840711,503376,67.01%,-0.85%
9,ソニー(株)【6758】,734860,288702,294197,-1.87%,154.54%
97,東海旅客鉄道(株)【9022】,662023,619564,578677,7.07%,6.85%
16,(株)日立製作所【6501】,586012,541483,550527,-1.64%,8.22%
10,日産自動車(株)【7201】,574760,742228,793278,-6.44%,-22.56%
110,ＪＴ【2914】,561101,593329,565229,4.97%,-5.43%
111,ＪＸＴＧホールディングス(株)【5020】,487546,271138,-62234,535.68%,79.81%
46,東日本旅客鉄道(株)【9020】,481295,466309,487821,-4.41%,3.21%
44,三菱商事(株)【8058】,474389,401138,10304,3793.03%,18.26%
4,(株)みずほフィナンシャルグループ【8411】,457820,663416,852854,-22.21%,-30.99%
80,(株)ブリヂストン【5108】,419047,449548,517248,-13.09%,-6.78%
47,(株)デンソー【6902】,412676,330551,315728,4.69%,24.84%
209,(株)セブン＆アイ・ホールディングス【3382】,391657,364573,352320,3.48%,7.43%
32,パナソニック(株)【6752】,380539,276784,415709,-33.42%,37.49%
58,(株)ＳＵＢＡＲＵ【7270】,379447,410810,565589,-27.37%,-7.63%
75,スズキ(株)【7269】,374182,266685,195308,36.55%,40.31%
26,国際石油開発帝石(株)【1605】,357363,336452,390139,-13.76%,6.22%
210,(株)三菱ケミカルホールディングス【4188】,355711,268621,280026,-4.07%,32.42%
56,大和ハウス工業(株)【1925】,347141,310092,243100,27.56%,11.95%
89,信越化学工業(株)【4063】,336822,238617,208525,14.43%,41.16%
39,オリックス(株)【8591】,336195,329224,287741,14.42%,2.12%
53,キヤノン(株)【7751】,331479,228866,355210,-35.57%,44.84%
52,三菱電機(株)【6503】,318637,270104,301172,-10.32%,17.97%
33,伊藤忠商事(株)【8001】,294104,298422,137948,116.33%,-1.45%
320,(株)キーエンス【6861】,292890,169750,49160,245.30%,72.54%
6,東京電力ホールディングス(株)【9501】,288470,258680,372231,-30.51%,11.52%
191,東京エレクトロン(株)【8035】,281172,155697,116788,33.32%,80.59%
166,コマツ【6301】,271581,174097,208577,-16.53%,55.99%
22,三井物産(株)【8031】,254622,260440,121036,115.18%,-2.23%
231,アイシン精機(株)【7259】,253808,228691,176435,29.62%,10.98%
134,ダイキン工業(株)【6367】,253739,230769,217872,5.92%,9.95%
126,住友化学(株)【4005】,250923,134336,164446,-18.31%,86.79%
63,ジェイ　エフ　イー　ホールディングス(株)【5411】,246669,96746,90638,6.74%,154.97%
23,三井不動産(株)【8801】,245902,232698,202482,14.92%,5.67%
146,武田薬品工業(株)【4502】,241789,155867,130828,19.14%,55.13%
777,(株)ファーストリテイリング【9983】,236212,176414,127292,38.59%,33.90%
41,住友商事(株)【8053】,229909,109128,113722,-4.04%,110.68%
163,ファナック(株)【6954】,229604,153217,215567,-28.92%,49.86%
15,関西電力(株)【9503】,227551,217747,256702,-15.18%,4.50%
104,アステラス製薬(株)【4503】,213258,260830,248986,4.76%,-18.24%
70,三菱地所(株)【8802】,213047,192495,166199,15.82%,10.68%
107,キリンホールディングス(株)【2503】,211066,141889,124751,13.74%,48.75%
40,イオン(株)【8267】,210273,184739,176977,4.39%,13.82%
84,住友不動産(株)【8830】,205637,188171,174240,8.00%,9.28%
133,花王(株)【4452】,204791,185571,164380,12.89%,10.36%
55,出光興産(株)【5019】,201323,135234,-19643,788.46%,48.87%
136,(株)クボタ【6326】,198826,188777,166874,13.13%,5.32%
103,旭化成(株)【3407】,198475,159229,165203,-3.62%,24.65%
45,積水ハウス(株)【1928】,195540,184164,149645,23.07%,6.18%
181,ＳＭＣ(株)【6273】,192428,141107,134233,5.12%,36.37%
816,(株)リクルートホールディングス【6098】,191794,127207,114032,11.55%,50.77%
114,西日本旅客鉄道(株)【9021】,191365,176392,181539,-2.84%,8.49%
890,ヤフー(株)【4689】,185810,192049,224997,-14.64%,-3.25%
49,アサヒグループホールディングス(株)【2502】,183192,136889,135119,1.31%,33.83%
172,豊田通商(株)【8015】,182696,133669,140299,-4.73%,36.68%
24,富士通(株)【6702】,182489,128861,120612,6.84%,41.62%
18,新日鐵住金(株)【5401】,182382,114202,167731,-31.91%,59.70%
85,大成建設(株)【1801】,181859,140822,117468,19.88%,29.14%
797,任天堂(株)【7974】,177557,29362,32881,-10.70%,504.72%
50,日本航空(株)【9201】,174565,170332,209192,-18.58%,2.49%
115,住友電気工業(株)【5802】,173139,150503,143476,4.90%,15.04%
128,日本電産(株)【6594】,167637,140331,124538,12.68%,19.46%
249,いすゞ自動車(株)【7202】,166765,146444,171559,-14.64%,13.88%
25,ＡＮＡホールディングス(株)【9202】,164516,145539,136463,6.65%,13.04%
161,(株)村田製作所【6981】,162146,201215,275406,-26.94%,-19.42%
140,鹿島【1812】,158373,155392,111079,39.89%,1.92%
62,東レ(株)【3402】,156464,146893,154480,-4.91%,6.52%
132,ヤマハ発動機(株)【7272】,149782,108594,120436,-9.83%,37.93%
43,楽天(株)【4755】,149344,77977,94689,-17.65%,91.52%
141,(株)豊田自動織機【6201】,147445,127345,127970,-0.49%,15.78%
28,マツダ(株)【7261】,146421,125687,226775,-44.58%,16.50%
187,(株)大林組【1802】,137800,133742,106380,25.72%,3.03%
150,(株)電通【4324】,137392,137681,107265,28.36%,-0.21%
17,中部電力(株)【9502】,136505,136443,284991,-52.12%,0.05%
168,セコム(株)【9735】,135448,131050,128582,1.92%,3.36%
36,(株)大和証券グループ本社【8601】,135058,119062,150297,-20.78%,13.44%
250,富士フイルムホールディングス(株)【4901】,130679,172281,180626,-4.62%,-24.15%
189,東ソー(株)【4042】,130580,111216,69444,60.15%,17.41%
29,三菱重工業(株)【7011】,126530,150543,309506,-51.36%,-15.95%
342,大東建託(株)【1878】,126369,120162,101001,18.97%,5.17%
355,日東電工(株)【6988】,125722,92589,102397,-9.58%,35.79%
69,(株)ＮＴＴデータ【9613】,123522,117109,100885,16.08%,5.48%
1110,ＨＯＹＡ(株)【7741】,123457,103903,118354,-12.21%,18.82%
151,清水建設(株)【1803】,121373,128835,94668,36.09%,-5.79%
