industry,name,d2018,d2017,d2016
電気機器,(株)ジャパンディスプレイ【6740】,-38536,-27230,-55081
輸送用機器,(株)デンソー【6902】,61078,316196,412676
食料品,アサヒグループホールディングス(株)【2502】,201436,211772,183192
空運業,日本航空(株)【9201】,100632,176160,174565
電気・ガス業,Ｊ−ＰＯＷＥＲ【9513】,83638,78844,104336
電気機器,三菱電機(株)【6503】,259661,290477,318637
電気機器,キヤノン(株)【7751】,174667,342952,331479
食料品,サントリー食品インターナショナル(株)【2587】,113948,113557,117955
石油・石炭製品,出光興産(株)【5019】,-3860,179319,201323
建設業,大和ハウス工業(株)【1925】,381114,372195,347141
卸売業,双日(株)【2768】,54781,69999,59838
輸送用機器,(株)ＳＵＢＡＲＵ【7270】,210319,195529,379447
銀行業,(株)コンコルディア・フィナンシャルグループ【7186】,83337,83761,102567
その他金融業,(株)オリエントコーポレーション【8585】,24439,21964,30088
保険業,東京海上ホールディングス(株)【8766】,‥,‥,‥
繊維製品,東レ(株)【3402】,131186,141469,156464
鉄鋼,ジェイ　エフ　イー　ホールディングス(株)【5411】,-200927,221818,246669
情報・通信,(株)フジ・メディア・ホールディングス【4676】,26341,34709,25258
電気・ガス業,四国電力(株)【9507】,31288,25729,29265
銀行業,(株)千葉銀行【8331】,79426,77530,76887
海運業,日本郵船(株)【9101】,38696,11085,27824
情報・通信,(株)ＮＴＴデータ【9613】,130937,147716,123522
不動産業,三菱地所(株)【8802】,240768,229178,213047
情報・通信,ＫＤＤＩ(株)【9433】,1025237,1013729,962793
電気・ガス業,東京ガス(株)【9531】,101508,93704,116302
化学,昭和電工(株)【4004】,120798,180003,77818
金属製品,(株)ＳＵＭＣＯ【3436】,50636,85165,42085
輸送用機器,スズキ(株)【7269】,215069,324365,374182
電気機器,(株)リコー【7752】,79040,86839,-115676
電気・ガス業,大阪ガス(株)【9532】,83792,67977,78118
陸運業,ヤマトホールディングス(株)【9064】,44701,58345,35685
陸運業,近鉄グループホールディングス(株)【9041】,49380,67779,64643
ゴム製品,(株)ブリヂストン【5108】,326098,402732,419047
化学,三井化学(株)【4183】,71636,93427,103491
銀行業,(株)ふくおかフィナンシャルグループ【8354】,4348,75144,73587
精密機器,オリンパス(株)【7733】,83469,28281,81029
不動産業,住友不動産(株)【8830】,234332,220419,205637
建設業,大成建設(株)【1801】,167755,153323,181859
陸運業,東急(株)【9005】,68760,81971,82918
銀行業,(株)北洋銀行【8524】,23863,17859,11058
非鉄金属,三菱マテリアル(株)【5711】,37952,36861,72819
化学,信越化学工業(株)【4063】,406041,403705,336822
不動産業,野村不動産ホールディングス(株)【3231】,81905,79162,76660
電気・ガス業,北陸電力(株)【9505】,29461,12824,14826
銀行業,(株)めぶきフィナンシャルグループ【7167】,73531,76369,66738
ガラス・土石製品,日本板硝子(株)【5202】,-2783,29787,34398
電気機器,京セラ(株)【6971】,100193,94823,95575
その他製品,大日本印刷(株)【7912】,56274,49898,46372
電気・ガス業,北海道電力(株)【9509】,42415,42217,33726
陸運業,東海旅客鉄道(株)【9022】,656163,709775,662023
機械,(株)ＩＨＩ【7013】,60797,82488,72267
その他製品,凸版印刷(株)【7911】,66413,45743,52290
パルプ・紙,日本製紙(株)【3863】,35048,19615,17613
輸送用機器,川崎重工業(株)【7012】,62063,64023,55925
パルプ・紙,王子ホールディングス(株)【3861】,106125,110212,70781
化学,旭化成(株)【3407】,177264,209587,198475
医薬品,アステラス製薬(株)【4503】,243991,243912,213258
銀行業,(株)池田泉州ホールディングス【8714】,‥,‥,‥
陸運業,東武鉄道(株)【9001】,62653,67295,66645
食料品,キリンホールディングス(株)【2503】,87727,198322,211066
陸運業,名古屋鉄道(株)【9048】,47363,49455,46976
保険業,ＳＯＭＰＯホールディングス(株)【8630】,‥,‥,‥
化学,積水化学工業(株)【4204】,87768,95686,99231
食料品,ＪＴ【2914】,502355,564984,561101
石油・石炭製品,ＥＮＥＯＳホールディングス(株)【5020】,-113061,537083,487546
銀行業,(株)あおぞら銀行【8304】,‥,‥,‥
保険業,ＭＳ＆ＡＤインシュアランスグループホールディングス(株)【8725】,‥,‥,‥
陸運業,西日本旅客鉄道(株)【9021】,160628,196946,191365
非鉄金属,住友電気工業(株)【5802】,127216,166260,173139
陸運業,阪急阪神ホールディングス(株)【9042】,95170,114937,105211
情報・通信,ＬＩＮＥ(株)【3938】,-38997,16110,25078
化学,ＤＩＣ(株)【4631】,41332,48385,56483
その他金融業,アイフル(株)【8515】,1679,3031,2492
非鉄金属,住友金属鉱山(株)【5713】,65325,82167,110203
不動産業,東京建物(株)【8804】,52410,46765,44757
