industry,name,d2018,d2017,d2016,2017-2018,2016-2017
銀行業,(株)ネクソン【3659】,94525,98360,90504,-3.90%,8.68%
銀行業,(株)コンコルディア?フィナンシャルグループ【7186】,83337,83761,102567,-0.51%,-18.34%
銀行業,(株)千葉銀行【8331】,79426,77530,76887,2.45%,0.84%
銀行業,(株)バンダイナムコホールディングス【7832】,78775,84045,75024,-6.27%,12.02%
銀行業,(株)めぶきフィナンシャルグループ【7167】,73531,76369,66738,-3.72%,14.43%
証券業,ＳＢＩホールディングス(株)【8473】,64432,82082,72863,-21.50%,12.65%
銀行業,(株)静岡銀行【8355】,59594,59770,54794,-0.29%,9.08%
証券業,(株)博報堂ＤＹホールディングス【2433】,55131,65392,52187,-15.69%,25.30%
証券業,日本テレビホールディングス(株)【9404】,43111,49749,50964,-13.34%,-2.38%
銀行業,スルガ銀行(株)【8358】,36015,30156,27825,19.43%,8.38%
銀行業,(株)九州フィナンシャルグループ【7180】,35122,35137,31522,-0.04%,11.47%
銀行業,(株)関電工【1942】,34693,30012,29261,15.60%,2.57%
銀行業,(株)トクヤマ【4043】,34281,35262,41268,-2.78%,-14.55%
銀行業,(株)西日本フィナンシャルホールディングス【7189】,33636,38002,34809,-11.49%,9.17%
証券業,(株)スズケン【9987】,32571,27228,19735,19.62%,37.97%
銀行業,(株)山口フィナンシャルグループ【8418】,32294,31827,40945,1.47%,-22.27%
銀行業,(株)京都銀行【8369】,28266,22410,23687,26.13%,-5.39%
銀行業,安藤ハザマ【1719】,24699,23692,35714,4.25%,-33.66%
銀行業,(株)北洋銀行【8524】,23863,17859,11058,33.62%,61.50%
銀行業,(株)十六銀行【8356】,22746,16395,8035,38.74%,104.04%
証券業,(株)堀場製作所【6856】,20916,28838,26834,-27.47%,7.47%
銀行業,(株)七十七銀行【8341】,19412,17958,17330,8.10%,3.62%
銀行業,(株)第四北越フィナンシャルグループ【7327】,19100,17802,,7.29%,0.00%
銀行業,岡谷鋼機(株)【7485】,19032,20972,18016,-9.25%,16.41%
銀行業,シップヘルスケアホールディングス(株)【3360】,18794,17952,18259,4.69%,-1.68%
銀行業,(株)コメリ【8218】,18469,18123,16964,1.91%,6.83%
銀行業,(株)百五銀行【8368】,16555,15347,11356,7.87%,35.14%
銀行業,(株)北國銀行【8363】,16508,15216,17053,8.49%,-10.77%
銀行業,(株)ジャックス【8584】,16506,14370,12679,14.86%,13.34%
銀行業,(株)阿波銀行【8388】,16447,15596,19124,5.46%,-18.45%
証券業,(株)ジャフコ【8595】,14970,12239,14252,22.31%,-14.12%
証券業,(株)ＦＰＧ【7148】,14432,13064,13417,10.47%,-2.63%
銀行業,(株)滋賀銀行【8366】,13672,13773,15973,-0.73%,-13.77%
銀行業,(株)ＳＡＮＫＹＯ【6417】,12551,21286,10181,-41.04%,109.08%
銀行業,(株)南都銀行【8367】,12520,6270,11593,99.68%,-45.92%
銀行業,(株)大垣共立銀行【8361】,12368,10062,11819,22.92%,-14.87%
銀行業,(株)東邦銀行【8346】,11517,9361,10779,23.03%,-13.16%
保険業,日本製粉(株)【2001】,11101,11222,10060,-1.08%,11.55%
証券業,日本ライフライン(株)【7575】,10434,10526,10671,-0.87%,-1.36%
銀行業,(株)名古屋銀行【8522】,9927,6795,8832,46.09%,-23.06%
証券業,(株)ビー?エム?エル【4694】,9763,10450,9337,-6.57%,11.92%
銀行業,(株)沖縄銀行【8397】,9252,9698,8469,-4.60%,14.51%
証券業,新晃工業(株)【6458】,9008,5376,5480,67.56%,-1.90%
銀行業,住友理工(株)【5191】,8898,1153,12196,671.73%,-90.55%
銀行業,蝶理(株)【8014】,8219,8047,7226,2.14%,11.36%
保険業,日鉄鉱業(株)【1515】,7576,7479,8741,1.30%,-14.44%
銀行業,タキロンシーアイ(株)【4215】,7372,9080,8363,-18.81%,8.57%
銀行業,オカモト(株)【5122】,7345,8678,10155,-15.36%,-14.54%
銀行業,(株)琉球銀行【8399】,7068,7544,8782,-6.31%,-14.10%
証券業,日本電子(株)【6951】,7030,6670,3928,5.40%,69.81%
証券業,(株)テーオーシー【8841】,6227,6323,5330,-1.52%,18.63%
証券業,セイコーホールディングス(株)【8050】,6134,9394,10836,-34.70%,-13.31%
証券業,(株)サーラコーポレーション【2734】,5463,5496,4696,-0.60%,17.04%
銀行業,東洋炭素(株)【5310】,5175,7009,3708,-26.17%,89.02%
銀行業,(株)ふくおかフィナンシャルグループ【8354】,4348,75144,73587,-94.21%,2.12%
証券業,(株)ＣＫサンエツ【5757】,4329,4945,6058,-12.46%,-18.37%
証券業,レック(株)【7874】,4129,4110,4006,0.46%,2.60%
銀行業,(株)オークワ【8217】,3448,2840,2144,21.41%,32.46%
証券業,(株)北川鉄工所【6317】,2907,5463,4484,-46.79%,21.83%
銀行業,クリナップ(株)【7955】,2499,-465,398,-637.42%,-216.83%
保険業,(株)東光高岳【6617】,2321,2736,2947,-15.17%,-7.16%
保険業,エバラ食品工業(株)【2819】,2311,2392,1470,-3.39%,62.72%
銀行業,ユニデンホールディングス(株)【6815】,2294,1993,1241,15.10%,60.60%
保険業,(株)ファルテック【7215】,2159,2058,1759,4.91%,17.00%
銀行業,三信電気(株)【8150】,1958,1965,1763,-0.36%,11.46%
銀行業,新電元工業(株)【6844】,1757,5638,6853,-68.84%,-17.73%
証券業,アキレス(株)【5142】,1602,1402,2343,14.27%,-40.16%
銀行業,Ｉ?ＰＥＸ(株)【6640】,1505,719,2604,109.32%,-72.39%
証券業,(株)ミダック【6564】,1495,1098,883,36.16%,24.35%
証券業,(株)魚力【7596】,1142,985,928,15.94%,6.14%
証券業,(株)クレオ【9698】,1044,670,410,55.82%,63.41%
証券業,(株)イトーキ【7972】,903,1925,2956,-53.09%,-34.88%
証券業,(株)秀英予備校【4678】,581,5,119,11520.00%,-95.80%
証券業,イチカワ(株)【3513】,418,485,592,-13.81%,-18.07%
保険業,インターライフホールディングス(株)【1418】,355,185,114,91.89%,62.28%
証券業,東京製綱(株)【5981】,319,854,3094,-62.65%,-72.40%
銀行業,藤田観光(株)【9722】,280,1099,1995,-74.52%,-44.91%
証券業,アップルインターナショナル(株)【2788】,164,493,325,-66.73%,51.69%
証券業,(株)ビーマップ【4316】,101,81,25,24.69%,224.00%
保険業,東京海上ホールディングス(株)【8766】,0,0,0,0.00%,0.00%
銀行業,(株)池田泉州ホールディングス【8714】,0,0,0,0.00%,0.00%
保険業,ＳＯＭＰＯホールディングス(株)【8630】,0,0,0,0.00%,0.00%
銀行業,(株)あおぞら銀行【8304】,0,0,0,0.00%,0.00%
保険業,ＭＳ＆ＡＤインシュアランスグループホールディングス(株)【8725】,0,0,0,0.00%,0.00%
銀行業,(株)紀陽銀行【8370】,0,0,0,0.00%,0.00%
銀行業,(株)ほくほくフィナンシャルグループ【8377】,0,0,0,0.00%,0.00%
銀行業,(株)千葉興業銀行【8337】,0,0,0,0.00%,0.00%
銀行業,(株)広島銀行【8379】,0,0,0,0.00%,0.00%
銀行業,(株)八十二銀行【8359】,0,0,0,0.00%,0.00%
銀行業,(株)りそなホールディングス【8308】,0,0,0,0.00%,0.00%
銀行業,(株)京葉銀行【8544】,0,0,0,0.00%,0.00%
銀行業,(株)筑波銀行【8338】,0,0,0,0.00%,0.00%
銀行業,(株)群馬銀行【8334】,0,0,0,0.00%,0.00%
銀行業,(株)武蔵野銀行【8336】,0,0,0,0.00%,0.00%
銀行業,(株)東和銀行【8558】,0,0,0,0.00%,0.00%
銀行業,(株)百十四銀行【8386】,0,0,0,0.00%,0.00%
銀行業,(株)みちのく銀行【8350】,0,0,0,0.00%,0.00%
銀行業,(株)中京銀行【8530】,0,0,0,0.00%,0.00%
銀行業,(株)セブン銀行【8410】,0,0,0,0.00%,0.00%
銀行業,(株)関西みらいフィナンシャルグループ【7321】,0,0,0,0.00%,0.00%
銀行業,(株)東京きらぼしフィナンシャルグループ【7173】,0,0,0,0.00%,0.00%
銀行業,(株)栃木銀行【8550】,0,0,0,0.00%,0.00%
銀行業,(株)四国銀行【8387】,0,0,0,0.00%,0.00%
銀行業,トモニホールディングス(株)【8600】,0,0,0,0.00%,0.00%
銀行業,(株)愛媛銀行【8541】,0,0,0,0.00%,0.00%
銀行業,(株)伊予銀行【8385】,0,0,0,0.00%,0.00%
銀行業,(株)山陰合同銀行【8381】,0,0,0,0.00%,0.00%
保険業,ソニーフィナンシャルホールディングス(株)【8729】,0,0,0,0.00%,0.00%
銀行業,(株)大分銀行【8392】,0,0,0,0.00%,0.00%
銀行業,(株)青森銀行【8342】,0,0,0,0.00%,0.00%
銀行業,(株)高知銀行【8416】,0,0,0,0.00%,0.00%
銀行業,(株)愛知銀行【8527】,0,0,0,0.00%,0.00%
銀行業,(株)島根銀行【7150】,0,0,0,0.00%,0.00%
証券業,津田駒工業(株)【6217】,-228,934,622,-124.41%,50.16%
保険業,東亜石油(株)【5008】,-383,4152,3185,-109.22%,30.36%
証券業,東海東京フィナンシャル?ホールディングス(株)【8616】,-823,-391,17446,110.49%,-102.24%
証券業,(株)Ｎｕｔｓ【7612】,-936,-795,,17.74%,0.00%
証券業,水戸証券(株)【8622】,,,,0.00%,0.00%
証券業,光世証券(株)【8617】,,,,0.00%,0.00%
証券業,新日本製薬(株)【4931】,,,,0.00%,0.00%
証券業,(株)テクノマセマティカル【3787】,,,,0.00%,0.00%
証券業,(株)マルタイ【2919】,,,,0.00%,0.00%
証券業,パラカ(株)【4809】,,,,0.00%,0.00%
証券業,元旦ビューティ工業(株)【5935】,,,,0.00%,0.00%
